food_form,rating,weight,lifestage,cost,food_texture,size,category,fish_type,dimensions,special_diet,toy_feature,product_name,item_number,litter_and_bedding_type,small_pet_type,brand,material,no_reviews,litter_box_type,old_cost,supplement_form,reptile_type,bowl_feature,bed_type,made_in,product_description,leash_and_collar_feature,bird_type,breed_size,page,percent_rec
,4.7,,,$57.40,,X-Large,"Cat Crates, Pens & Gates",,"48.5
________________________x_30.5
____________________________x_33inches",,,Precision Pet Products,74122,,,,,44,,$79.99,,,,,,Precision Pet Products Indoor/Outdoor Crate Cover,,,giant,5,93
,4,4.0pounds,,$49.99,,None,"Cat Crates, Pens & Gates",,"34
________________________x_4.5
____________________________x_4.5inches",,,ABO Gear,111176,,,,polyester,None,,None,,,,,,ABO Gear Happy Habitat,,,,5,100
,4.2,,,$19.99,,None,"Cat Crates, Pens & Gates",,,,,Four Paws,67592,,,,plastic,None,,$47.99,,,,,,Four Paws Plastic Mesh Safety Gate,,,,5,80
,4.2,,puppy,$6.99,,None,Dog Vitamins & Supplements,,,,,Nutri-Vet,64355,,,,,None,,$7.99,tablet/capsule,,,,united_states,"Nutri-Vet Puppy-Vite Dog Chewables, 60-count",,,,12,83
,5,,senior,$59.99,,None,Dog Vitamins & Supplements,,,,,Wapiti Labs,61300,,,,,None,,None,tablet/capsule,,,,united_states,"Wapiti Labs Senior Mobility Formula Dog Tablets Supplement, 120 tablet",,,,12,100
treats,4.6,,adult,$4.99,,None,Dog Vitamins & Supplements,,,,,NaturVet,60311,,,overby_farm,,12,,$6.99,chews,,,,united_states,"NaturVet Aches & Discomfort Dog Soft Chews, 30 count",,,,12,91
,5,,puppy,$17.29,,None,Dog Vitamins & Supplements,,,,,The Missing Link,56202,,,,,12,,$24.99,powdered,,,,united_states,"The Missing Link Puppy Health Formula, 8-oz-pouch",,,all_breeds,12,100
treats,4.2,,"adult,_all_stages",$20.99,,None,Dog Vitamins & Supplements,,,,,NaturVet,75575,,,overby_farm,,14,,$26.99,chews,,,,united_states,"NaturVet Glucosamine DS Stage 1 Dog Soft Chews, 120-count",,,,12,86
,4.6,,"adult,_all_stages",$29.94,,None,Dog Vitamins & Supplements,,,,,Ark Naturals,60764,,,,,11,,$55.10,chews,,,,united_states,Ark Naturals Nu-Pet Canine Chewable Wafers,,,,12,100
,4.6,,adult,$11.13,,500 count,Dog Vitamins & Supplements,,,,,Nutri-Vet,80842,,,,,None,,None,tablet/capsule,,,,united_states,Nutri-Vet Garlic Flavored Brewers Yeast Dog Chewables,,,,12,100
treats,4.8,,"adult,_all_stages",$18.60,,27-oz box,Dog Dental & Healthcare,,,grain-free,,Greenies,85648,,,,,54,,$38.99,,,,,united_states,Greenies Grain-Free Petite Dental Dog Treats,,,small,6,100
treats,4.6,,adult,$7.99,,None,Dog Dental & Healthcare,,,"prescription_food,_weight_control",,Purina Pro Plan Veterinary Diets,65082,,,purina,,68,,$16.75,,,,,united_states,"Purina Pro Plan Veterinary Diets Lite Snackers Dog Treats, 24-oz bag",,,"all_breeds,_small,_medium,_large",6,94
wet_food,4.8,,adult,$36.99,pate,None,Dog Dental & Healthcare,,,"prescription_food,_weight_control",,Hill's Prescription Diet,69778,,,"hill's,_science_diet",,62,,None,,,,,united_states,"Hill's Prescription Diet Metabolic Weight Management Chicken Flavor Canned Dog Food, 13-oz, case of 12",,,"all_breeds,_small,_medium,_large",6,98
,4.9,,,$63.03,,Medium,"Cat Crates, Pens & Gates",,"36
________________________x_36
____________________________x_21inches",,,Pet Gear,64548,,,,,22,,$109.99,,,,,,"Pet Gear Travel Lite Soft-Sided Pet Pen with Removable Top, Sahara",,,,6,95
treats,4.7,,"adult,_all_stages",$6.19,,None,Dog Dental & Healthcare,,,rawhide-free,,SmartBones,68064,,,petmatrix,,50,,$14.99,,,,,,SmartBones Mini Dental Chew Bones Dog Treats,,,extra_small,6,96
treats,4.8,,"adult,_all_stages",$4.71,,None,Dog Dental & Healthcare,,,"no_corn_no_wheat_no_soy,_vegan,_weight_control",,Zuke's,76959,,,,,58,,$6.99,,,,,united_states,"Zuke's Skinny Bakes Peanut Butter & Banana Crunch Dog Treats, 12-oz bag",,,"small,_medium,_large,_all_breeds",6,98
treats,4.9,,"adult,_all_stages",$22.31,,27-oz box,Dog Dental & Healthcare,,,grain-free,,Greenies,85645,,,,,76,,$38.99,,,,,united_states,Greenies Grain-Free Teenie Dental Dog Treats,,,extra_small,6,100
,3,,,$9.39,,None,"Cat Crates, Pens & Gates",,,,,Cat Mate,75303,,,ani_mate,,None,,$20.99,,,,,,Cat Mate Elite Electronic I.D. Disc,,,,6,100
,4,,,$89.19,,None,"Cat Crates, Pens & Gates",,,,,Cat Mate,75295,,,ani_mate,,None,,None,,,,,,"Cat Mate Elite Super Selective Microchip & I.D. Disc Cat Flap, White",,,,6,80
,3.8,,,$15.69,,None,"Cat Crates, Pens & Gates",,,,,Cat Mate,75268,,,ani_mate,,None,,$19.79,,,,,,"Cat Mate Lockable Cat Flap, White",,,,6,83
,4.6,,,$133.99,,3 Step,"Cat Crates, Pens & Gates",,"24
________________________x_18
____________________________x_21inches",,,Mr. Herzher's,68750,,,solvit,,21,,$149.99,,,,,,Mr. Herzher's Warm Cherry Decorative Pet Steps,,,,6,100
,4,2.0pounds,,$14.99,,None,"Cat Crates, Pens & Gates",,"12
________________________x_4
____________________________x_4inches",,,Carlson Pet Products,82477,,,,,None,,$18.99,,,,,,Carlson Pet Products Pet Yard Wall Mount,,,,6,100
,4.5,1.0pounds,,$22.69,,None,"Cat Crates, Pens & Gates",,"40
________________________x_18
____________________________x_4inches",,,Solvit,68757,,,,,None,,$29.99,,,,,,Solvit Carrying Case for Deluxe Telescoping Pet Ramp,,,all_breeds,6,75
,4,,,$21.81,,6-inch,"Cat Crates, Pens & Gates",,,,,MidWest,89425,,,,stainless_steel,None,,$27.94,,,,,,"MidWest Extension for 39"" Steel Pet Gate, White",,,,6,100
,5,,,$21.81,,6-inch,"Cat Crates, Pens & Gates",,,,,MidWest,89421,,,,stainless_steel,None,,$26.99,,,,,,"MidWest Extension for 29"" Steel Pet Gate, Graphite",,,,6,100
,4.6,,,$24.99,,None,"Cat Crates, Pens & Gates",,,,,Cat Mate,75277,,,ani_mate,,None,,None,,,,,,Cat Mate 4-Way Locking Cat Flap with Door Liner,,,,6,100
,4.5,,,$75.99,,None,"Cat Crates, Pens & Gates",,,,,Carlson Pet Products,69448,,,,,29,,$99.99,,,,,,Carlson Pet Products Flexi Extra Tall Walk-Thru Gate with Pet Door,,,"small,_medium,_large,_giant",6,96
,5,11.7pounds,"adult,_all_stages",$79.99,,36-inch,"Cat Crates, Pens & Gates",,"36
________________________x_26
____________________________x_24inches",,,Arf Pets,112032,,,,,None,,$89.99,,,,,,Arf Pets Soft-Sided Crate,,,large,6,100
,4.4,,puppy,$7.79,,None,Dog Vitamins & Supplements,,,,,TropiClean,85560,,,,,None,,$10.99,liquid,,,,united_states,"TropiClean Fresh Breath Puppy Water Additive, 16-oz bottle",,,,13,86
,4.8,1.45pounds,adult,$36.99,,None,Dog Vitamins & Supplements,,"3.5
________________________x_3.5
____________________________x_7.8inches",,,Joint MAX,82370,,,pet_health_solutions,,None,,$42.94,tablet/capsule,,,,united_states,"Joint MAX Triple Strength Chewable Tablets for Dogs, 120 count",,,,13,100
treats,4.8,,"adult,_all_stages",$4.99,,Small,Dog Dental & Healthcare,,,"grain-free,_no_corn_no_wheat_no_soy",,Get Naked,105148,,,,,82,,$8.99,,,,,united_states,Get Naked Digestive Health Dental Chew Sticks Dog Treats,,,"small,_medium",7,96
,3.1,,adult,$5.99,,None,Dog Vitamins & Supplements,,,,,NaturVet,100663,,,overby_farm,,11,,$12.70,chews,,,,united_states,"NaturVet Skin & Coat Plus Omegas Cat Soft Chews, 60-count",,,,13,45
,5,,"adult,_all_stages",$29.95,,None,Dog Vitamins & Supplements,,,,,Particular Paws,104830,,,,,None,,None,tablet/capsule,,,,,"Particular Paws Chewable Tablets Joint & Hip Dog Supplement, 4-oz bottle",,,,13,100
treats,4.7,,"adult,_all_stages",$8.52,,None,Dog Vitamins & Supplements,,,gluten_free,,Vet's Best,107024,,,,,None,,$16.99,chews,,,,united_states,"Vet's Best Skin + Coat Soft Chews Dog Supplement, 30 count",,,"small,_medium,_large,_all_breeds",13,100
treats,4.6,,adult,$12.64,,None,Dog Dental & Healthcare,,,"high-protein,_grain-free,_gluten_free,_no_corn_no_wheat_no_soy",,Blue Buffalo,75780,,,blue_wilderness,,38,,$18.99,,,,,united_states,"Blue Buffalo Wilderness Wild Bones Small Dental Chews Grain-Free Dog Treats, 10-oz bag",,,small,7,89
treats,4.4,,adult,$3.98,,None,Dog Dental & Healthcare,,,,,Nylabone,58332,,,advanced_oral_care,,58,,$9.99,,,,,united_states,Nylabone Romp 'n Chomp Chew Toy Refill Chicken Flavor Bars Dog Treats,,,small,7,88
dry_food,3.7,,adult,$96.04,,30.8-lb bag,Dog Dental & Healthcare,,,prescription_food,,Royal Canin Veterinary Diet,109133,,,royal_canin,,13,,$112.99,,,,,united_states,Royal Canin Veterinary Diet Canine Selected Protein Adult KO Dry Dog Food,,,"all_breeds,_small,_medium,_large",7,67
,3.5,17.0pounds,,$119.99,,None,"Cat Crates, Pens & Gates",,"53
________________________x_53
____________________________x_29inches",,,Gen7Pets,105028,,,,,None,,$124.99,,,,,,Gen7Pets Portable Petyard,,,,7,67
treats,4.1,,"adult,_all_stages",$5.49,,Large,Dog Dental & Healthcare,,,,,Starmark,89264,,,,,41,,$6.99,,,,,,Starmark Everlasting Dental Chicken Dog Treats,,,"large,_giant",7,82
treats,4.9,8.5ounces,adult,$3.72,,None,Dog Dental & Healthcare,,,,,Purina Beneful,100041,,,"purina,_beneful",,17,,$4.34,,,,,united_states,"Purina Beneful Healthy Smile Large Dental Twists Dog Treats, 7 count",,,large,7,100
treats,4.7,1.69pounds,adult,$20.49,,27-oz bag,Dog Dental & Healthcare,,,no_corn_no_wheat_no_soy,,Blue Buffalo,73655,,,blue_life_protection,,162,,$36.99,,,,,united_states,Blue Buffalo Dental Bones All Natural Mini Dog Treats,,,extra_small,7,92
,5,1.52pounds,,$17.99,,6-inch,"Cat Crates, Pens & Gates",,,,,MyPet,109626,,,north_states,,None,,$19.99,,,,,,MyPet Extension for Petgate Passage Gate with Small Pet Door,,,all_breeds,7,100
,4.3,14.25pounds,,$71.99,,30-inch,"Cat Crates, Pens & Gates",,,,,MyPet,109624,,,north_states,,None,,$79.99,,,,,,"MyPet Petgate Passage Gate with Small Pet Door, 30-inch",,,all_breeds,7,67
treats,4.5,,"adult,_all_stages",$13.58,,None,Dog Vitamins & Supplements,,,,,NaturVet,54025,,,overby_farm,,13,,$26.70,chews,,,,united_states,"NaturVet Hip Flex Canine Soft Chews, 60-count",,,,14,100
,4.5,,"adult,_puppy,_all_stages",$5.24,,None,Dog Vitamins & Supplements,,,"grain-free,_gluten_free",,PetsPrefer,84839,,,,,None,,$20.66,chews,,,,united_states,"PetsPrefer Breath Soft Chews Dog Supplement, 60 count",,,,14,100
,4.8,,puppy,$7.99,,None,Dog Vitamins & Supplements,,,,,TropiClean,85555,,,,,None,,$8.99,liquid,,,,united_states,"TropiClean Fresh Breath Puppy Clean Teeth Gel, 2-oz bottle",,,,14,100
,4.2,,"adult,_all_stages",$30.90,,None,Dog Vitamins & Supplements,,,,,Probios,83348,,,,,None,,$35.99,chews,,,,united_states,Probios Daily Digestive Dog Tabs Supplement,,,,14,100
treats,4.5,5.5ounces,"adult,_all_stages",$3.29,,Large,Dog Dental & Healthcare,,,,,N-Bone,90676,,,,,66,,$10.62,,,,,united_states,N-Bone Twistix Vanilla Mint Dog Treats,,,"all_breeds,_small,_medium,_large",8,92
,4.4,,,$9.99,,None,Dog Vitamins & Supplements,,,,,Arm & Hammer Dental,69394,,,arm_and_hammer,,None,,$19.48,,,,,,"Arm & Hammer Dental Advanced Care Fresh Breath & Whitening Dental Rinse for Dogs, 16-oz bottle",,,,14,89
,5,1.2pounds,adult,$70.01,,None,Dog Vitamins & Supplements,,,,,Response Products,82423,,,,,None,,$96.97,powdered,,,,united_states,"Response Products Advanced Cetyl M Joint Action Formula Powdered Large Dog Supplement, 1.2-lb pouch",,,large,14,100
,4.2,,adult,$11.09,,None,Dog Vitamins & Supplements,,,,,NaturVet,77878,,,overby_farm,,None,,$17.34,chews,,,,united_states,"NaturVet MSM Methylsulfonylmethane Tablets for Dogs, 250-count",,,,14,100
treats,3.4,,"adult,_all_stages",$4.08,,None,Dog Dental & Healthcare,,,"rawhide-free,_grain-free",,SmartBones,100742,,,petmatrix,,15,,$7.99,,,,,,"SmartBones Large Butcher's Cut Pork Flavor Chews Dog Treats, 2 count",,,"giant,_large",8,67
treats,4.9,1.13pounds,"adult,_all_stages,_senior",$18.19,,None,Dog Dental & Healthcare,,,,,Greenies,73583,,,,,45,,$27.99,,,,,united_states,Greenies Hip & Joint Care Teenie Dental Dog Treats,,,extra_small,8,100
treats,4,4ounces,"adult,_all_stages",$4.88,,None,Dog Dental & Healthcare,,,,,Ark Naturals,60768,,,breath-less,,84,,$6.35,,,,,united_states,"Ark Naturals Breath-Less Brushless Toothpaste Mini Dog & Cat Chews, 4-oz bag",,,"extra_small,_small",8,77
treats,4.9,,adult,$15.33,,None,Dog Dental & Healthcare,,,,,Pedigree,86542,,,,,35,,$15.99,,,,,,"Pedigree Dentastix Large Bacon Flavor Dog Treats, 32-count",,,"giant,_large",8,97
treats,4.9,,"adult,_all_stages",$4.29,,None,Dog Dental & Healthcare,,,rawhide-free,,SmartBones,68223,,,petmatrix,,41,,$9.99,,,,,,"SmartBones SmartChips Peanut Butter Chews Dog Treats, 12-pack",,,"all_breeds,_small,_medium,_large",8,100
wet_food,4.8,,adult,$28.30,pate,None,Dog Dental & Healthcare,,,"no_corn_no_wheat_no_soy,_weight_control",,Blue Buffalo,84158,,,blue_life_protection,,42,,$29.88,,,,,united_states,"Blue Buffalo Homestyle Recipe Healthy Weight Chicken Dinner with Garden Vegetables & Brown Rice Canned Dog Food, 12.5-oz, case of 12",,,"all_breeds,_small,_medium,_large",8,98
,4.8,,,$35.99,,None,"Cat Crates, Pens & Gates",,"23
________________________x_15.25
____________________________x_13inches",,,Firstrax,71813,,,,,None,,$55.99,,,,,,"Firstrax Noz2Noz Pet Suite Double Door Plastic Kennel, 23-inch",,,small,8,89
,5,,,$8.99,,None,"Cat Crates, Pens & Gates",,,,,Carlson Pet Products,69986,,,,,None,,$9.99,,,,,,Carlson Pet Products Extension for Mini Gate with Pet Door,,,"extra_small,_small",8,100
,4.1,,,$203.99,,Medium,"Cat Crates, Pens & Gates",,"30
________________________x_25
____________________________x_21inches",,,Mr. Herzher's,68854,,,solvit,,None,,None,,,,,,"Mr. Herzher's Deluxe Wicker Pet Residence, Dark Brown",,,medium,8,86
,5,,,$40.66,,None,"Cat Crates, Pens & Gates",,,,,Four Paws,67580,,,,,None,,$79.43,,,,,,"Four Paws Metal Safety Gate, Small",,,,8,100
,5,,,$9.69,,None,"Cat Crates, Pens & Gates",,,,,PetSafe,67087,,,,,None,,$10.99,,,,,,PetSafe Magnetic Collar Key,,,,8,100
,4.5,,,$63.89,,None,"Cat Crates, Pens & Gates",,"22.5
________________________x_16
____________________________x_16inches",,,Pet Gear,66504,,,,,None,,$79.99,,,,,,"Pet Gear Soft Step II with Removable Cover Pet Stair, Pink",,,,8,83
,3.8,,,$94.78,,None,"Cat Crates, Pens & Gates",,"27
________________________x_18.25
____________________________x_21.75inches",,,Pet Gear,66413,,,,"plastic,_stainless_steel",None,,None,,,,,,"Pet Gear The Other Door Steel Crate & Plush Pad, Ocean Blue, Small",,,,8,60
,4.7,,,$28.92,,Small,"Cat Crates, Pens & Gates",,"24
________________________x_17
____________________________x_21inches",,,Dogit,65594,,,hagen,,12,,$49.99,,,,,,Dogit Animal Cage,,,,8,92
,3.7,,,$55.04,,None,"Cat Crates, Pens & Gates",,,,,Four Paws,65399,,,,,None,,$61.99,,,,,,"Four Paws Wire Mesh Safety Gate, Large",,,,8,50
,3,,,$38.61,,None,"Cat Crates, Pens & Gates",,,,,MyPet,64604,,,north_states,,None,,$79.99,,,,,,MyPet 3-in-1 Metal Pet Yard Two-Panel Extension for Dogs & Cats,,,all_breeds,8,100
,3.8,,,$72.44,,None,"Cat Crates, Pens & Gates",,,,,MyPet,64591,,,north_states,,None,,$99.99,,,,,,MyPet Metal Auto-Close Gate for Dogs & Cats,,,medium,8,75
,3.6,,,$6.99,,None,Dog Vitamins & Supplements,,,,,Natural Chemistry,59526,,,,,11,,$9.99,,,,,united_states,"Natural Chemistry Dental Cleanse for Dogs and Puppies, 16-oz, bottle",,,,15,64
,4.4,2.25pounds,,$13.31,,27-oz bottle,Dog Vitamins & Supplements,,"9
________________________x_3.25
____________________________x_3.25inches",,,Arm & Hammer Dental,84219,,,arm_and_hammer,,16,,$17.99,,,,,,Arm & Hammer Dental Advanced Care Flavorless & Odorless Dental Rinse for Dogs,,,,15,87
treats,4.8,,"adult,_all_stages",$11.69,,None,Dog Dental & Healthcare,,,,,Greenies,85664,,,,,31,,$17.99,,,,,united_states,"Greenies Bursting Blueberry Teenie Dental Dog Treats, 12-oz bag",,,extra_small,9,97
wet_food,4.8,,adult,$41.49,pate,None,Dog Dental & Healthcare,,,"prescription_food,_sensitive_digestion,_grain-free",,Hill's Prescription Diet,69748,,,"hill's,_science_diet",,26,,None,,,,,united_states,"Hill's Prescription Diet d/d Skin/Food Sensitivities Salmon Formula Canned Dog Food, 13-oz, case of 12",,,"all_breeds,_small,_medium,_large",9,96
wet_food,4.7,,adult,$57.79,pate,None,Dog Dental & Healthcare,,,"low-protein,_sensitive_digestion,_prescription_food",,Royal Canin Veterinary Diet,90644,,,royal_canin,,80,,$78.99,,,,,united_states,"Royal Canin Veterinary Diet Renal Support T Canned Dog Food, 13.5-oz, case of 24",,,"all_breeds,_small,_medium,_large",9,99
dry_food,4.5,17.6pounds,adult,$55.24,,None,Dog Dental & Healthcare,,,"prescription_food,_sensitive_digestion,_vegetarian",,Royal Canin Veterinary Diet,77540,,,royal_canin,,40,,$64.99,,,,,united_states,"Royal Canin Veterinary Diet Vegetarian Formula Dry Dog Food, 17.6-lb bag",,,"all_breeds,_small,_medium,_large",9,92
treats,4.8,3.5ounces,all_stages,$4.99,,None,Dog Dental & Healthcare,,,"high-protein,_no_corn_no_wheat_no_soy",,Plato,108153,,,,,29,,None,,,,,united_states,"Plato Hundur's Crunch Fish Jerky Mini's Dog Treats, 3.5-oz",,,"all_breeds,_small,_medium,_large",9,96
dry_food,4.7,34.0pounds,adult,$88.89,,34-lb bag,Dog Dental & Healthcare,,,"low-protein,_prescription_food",,Purina Pro Plan Veterinary Diets,65063,,,purina,,102,,None,,,,,united_states,Purina Pro Plan Veterinary Diets NF Kidney Function Formula Dry Dog Food,,,"all_breeds,_small,_medium,_large",9,97
wet_food,4.7,,adult,$29.88,pate,None,Dog Dental & Healthcare,,,"gluten_free,_high-protein,_grain-free,_no_corn_no_wheat_no_soy,_weight_control",,Blue Buffalo,75743,,,blue_wilderness,,38,,$31.08,,,,,united_states,"Blue Buffalo Wilderness Healthy Weight Turkey & Chicken Grill Grain-Free Adult Canned Dog Food, 12.5-oz, case of 12",,,"all_breeds,_small,_medium,_large",9,97
treats,5,1.0625pounds,"adult,_all_stages",$8.99,,None,Dog Dental & Healthcare,,,,,Busy Bone,110691,,,purina,,None,,None,,,,,united_states,"Busy Bone with Real Meat Tiny Dog Treats, 30 count",,,"small,_extra_small",9,100
dry_food,4.8,25.0pounds,adult,$94.99,,25-lb bag,Dog Dental & Healthcare,,,prescription_food,,Purina Pro Plan Veterinary Diets,81605,,,purina,,46,,None,,,,,united_states,Purina Pro Plan Veterinary Diets HA Hydrolyzed Formula Chicken Flavor Dry Dog Food,,,"all_breeds,_small,_medium,_large",9,98
treats,4.7,,adult,$11.28,,"Regular, 8 count",Dog Dental & Healthcare,,,grain-free,,Zuke's,58456,,,,,102,,$18.99,,,,,united_states,Zuke's Z-Bones Clean Berry Crisp Dental  Dog Treats,,,"all_breeds,_small,_medium,_large",9,99
wet_food,4.7,,adult,$45.49,stew,None,Dog Dental & Healthcare,,,"weight_control,_prescription_food",,Hill's Prescription Diet,89574,,,"hill's,_science_diet",,21,,None,,,,,,"Hill's Prescription Diet Metabolic Weight + Mobility Tuna & Vegetable Stew Canned Dog Food, 12.5-oz, case of 12",,,"all_breeds,_small,_medium,_large",9,95
treats,4.7,,adult,$8.79,,None,Dog Dental & Healthcare,,,,,Nutro,52332,,,,,31,,$10.99,,,,,united_states,"Nutro Skin & Coat Biscuits Adult Healthy Skin & Coat Recipe Dog Treats, 32-oz bag",,,"all_breeds,_small,_medium,_large",9,93
treats,4.8,,adult,$3.47,,None,Dog Dental & Healthcare,,,,,Pedigree,48522,,,,,26,,$3.99,,,,,,Pedigree Dentastix Mini Beef Dog Treats,,,"small,_extra_small",9,100
treats,4.8,7.1ounces,adult,$6.99,,None,Dog Dental & Healthcare,,,,,Hill's Science Diet,104126,,,hill's,,16,,None,,,,,united_states,"Hill's Science Diet Flexi-Stix Jerky with Real Beef Dog Treats, 7.1-oz bag",,,"small,_medium,_large,_all_breeds",9,94
treats,4.2,,adult,$4.19,,Medium,Dog Dental & Healthcare,,,,,Nylabone,59176,,,advanced_oral_care,,55,,$6.99,,,,,united_states,Nylabone Healthy Edibles Twin Pack Bacon Flavor Dog Bone Treats,,,medium,9,87
treats,4.2,,"adult,_all_stages",$7.89,,None,Dog Dental & Healthcare,,,,,Starmark,100937,,,,,19,,$7.99,,,,,united_states,"Starmark Edible Rings Dog Treats, 16 count",,,"small,_medium,_large,_all_breeds",9,89
treats,4.1,,adult,$4.24,,Medium,Dog Dental & Healthcare,,,,,Nylabone,59188,,,advanced_oral_care,,35,,$6.99,,,,,united_states,Nylabone Healthy Edibles Longer Lasting Twin Pack Chicken Flavor Dog Bone Treats,,,medium,9,79
dry_food,4.8,24.2pounds,adult,$84.99,,24.2-lb bag,Dog Dental & Healthcare,,,"sensitive_digestion,_prescription_food,_weight_control,_limited_ingredient_diet",,Royal Canin Veterinary Diet,50212,,,royal_canin,,51,,$99.99,,,,,united_states,Royal Canin Veterinary Diet Selected Protein Adult PW Moderate Calorie Dry Dog Food,,,"all_breeds,_small,_medium,_large",9,100
dry_food,4.7,17.6pounds,adult,$77.99,,17.6-lb bag,Dog Dental & Healthcare,,,"prescription_food,_gluten_free,_grain-free",,Hill's Prescription Diet,69753,,,"hill's,_science_diet",,53,,None,,,,,united_states,Hill's Prescription Diet d/d Skin/Food Sensitivities Potato & Salmon Formula Dry Dog Food,,,"all_breeds,_small,_medium,_large",9,98
wet_food,4.4,,"adult,_senior",$20.04,pate,None,Dog Dental & Healthcare,,,weight_control,,Natural Balance,47996,,,,,57,,$29.88,,,,,united_states,"Natural Balance Original Ultra Whole Body Health Reduced Calorie Chicken, Salmon & Duck Formula Canned Dog Food, 13-oz, case of 12",,,"all_breeds,_large,_medium,_small",9,85
dry_food,4.9,24.2pounds,adult,$84.14,,24.2-lb bag,Dog Dental & Healthcare,,,"sensitive_digestion,_prescription_food,_weight_control",,Royal Canin Veterinary Diet,58665,,,royal_canin,,27,,$98.99,,,,,united_states,Royal Canin Veterinary Diet Hydrolyzed Protein Moderate Calorie Dry Dog Food,,,"all_breeds,_small,_medium,_large",9,96
dry_food,4.8,18.0pounds,adult,$50.99,,None,Dog Dental & Healthcare,,,prescription_food,,Royal Canin Veterinary Diet,48760,,,royal_canin,,27,,$59.99,,,,,united_states,"Royal Canin Veterinary Diet Urinary UC Low Purine Dry Dog Food, 18-lb bag",,,"all_breeds,_small,_medium,_large",9,100
treats,5,,"adult,_all_stages",$14.50,,36 count,Dog Dental & Healthcare,,,rawhide-free,,DreamBone,100586,,,petmatrix,,32,,$19.99,,,,,,DreamBone Mini Chicken Chew Bones Dog Treats,,,extra_small,9,100
,5,,"adult,_all_stages",$37.97,,None,Dog Vitamins & Supplements,,,,,Response Products,101834,,,,,None,,None,chews,,,,united_states,"Response Products Cetyl M Joint and Immune Support with Cetyl Myristoleate Dog Chews, 110 count",,,,16,100
,3.5,,,$6.94,,None,Dog Vitamins & Supplements,,,,,8in1,91057,,,,,None,,$7.99,tablet/capsule,,,,,"8in1 Excel 81 mg Aspirin for Dogs, 120 count",,,,16,67
,4.5,,"adult,_all_stages",$19.64,,None,Dog Vitamins & Supplements,,,,,VetriScience,69926,,,,,None,,None,tablet/capsule,,,,united_states,"VetriScience GlycoFlex Classic 300 Mg Joint Support Dog Tablets, 250 count",,,,16,100
treats,4.9,,adult,$21.44,,None,Dog Dental & Healthcare,,"8.25
________________________x_5.5
____________________________x_2.5inches",,,Nylabone,77944,,,advanced_oral_care,,32,,$32.99,,,,,united_states,Nylabone Nutri Dent Adult Filet Mignon Small Dental Chews,,,small,10,100
wet_food,4.4,,adult,$30.99,minced,None,Dog Dental & Healthcare,,,"low-protein,_prescription_food",,Purina Pro Plan Veterinary Diets,65064,,,purina,,63,,$42.99,,,,,united_states,"Purina Pro Plan Veterinary Diets NF Kidney Function Formula Canned Dog Food, 13.3-oz, case of 12",,,"all_breeds,_small,_medium,_large",10,92
dry_food,4.8,32.0pounds,adult,$88.99,,32-lb bag,Dog Dental & Healthcare,,,prescription_food,,Purina Pro Plan Veterinary Diets,65048,,,purina,,74,,None,,,,,united_states,Purina Pro Plan Veterinary Diets EN Gastroenteric Fiber Balance Formula Dry Dog Food,,,"all_breeds,_small,_medium,_large",10,99
treats,4.7,,"adult,_all_stages",$4.30,,None,Dog Dental & Healthcare,,,rawhide-free,,SmartBones,68185,,,petmatrix,,14,,$12.99,,,,,,"SmartBones Small Chicken Chew Bones Dog Treats, 6 pack",,,small,10,93
treats,4.9,1.13pounds,"adult,_all_stages,_senior",$18.19,,None,Dog Dental & Healthcare,,,,,Greenies,73589,,,,,28,,$27.99,,,,,united_states,Greenies Hip & Joint Care Large Dental Dog Treats,,,"giant,_large",10,100
treats,4.4,,"all_stages,_adult",$15.04,,None,Dog Dental & Healthcare,,,,,Ark Naturals,80698,,,breath-less,,32,,$19.95,,,,,united_states,"Ark Naturals Breath-Less Brushless Toothpaste Large Dog Chews, 18-oz bag",,,large,10,93
wet_food,4.3,,adult,$34.49,pate,None,Dog Dental & Healthcare,,,prescription_food,,Hill's Prescription Diet,91075,,,"hill's,_science_diet",,50,,None,,,,,united_states,"Hill's Prescription Diet k/d Kidney Care with Lamb Canned Dog Food, 13-oz, case of 12",,,"all_breeds,_small,_medium,_large",10,89
treats,4.5,,"adult,_all_stages",$11.49,,36 count,Dog Dental & Healthcare,,"12.5
________________________x_11.15
____________________________x_4.5inches",,,Better Than,105389,,,,,23,,None,,,,,united_states,Better Than Ears + Hip & Joint Peanut Butter Flavor Dog Treats,,,"all_breeds,_small,_medium,_large",10,91
wet_food,4.4,,adult,$17.98,stew,None,Dog Dental & Healthcare,,,vegetarian,,Nature's Recipe,56223,,,,,47,,None,,,,,united_states,"Nature's Recipe Healthy Skin Vegetarian Recipe Cuts in Gravy Stew Canned Dog Food, 13.2-oz, case of 12",,,"all_breeds,_small,_medium,_large",10,93
dry_food,4.7,8.8pounds,puppy,$33.99,,None,Dog Dental & Healthcare,,,"sensitive_digestion,_prescription_food",,Royal Canin Veterinary Diet,48749,,,royal_canin,,19,,$39.99,,,,,united_states,"Royal Canin Veterinary Diet Gastrointestinal Puppy Dry Dog Food, 8.8-lb bag",,,"all_breeds,_small,_medium,_large",10,95
treats,4.9,1.13pounds,"adult,_all_stages,_senior",$15.03,,None,Dog Dental & Healthcare,,,,,Greenies,73587,,,,,24,,$27.99,,,,,united_states,Greenies Hip & Joint Care Regular Dental Dog Treats,,,medium,10,100
